8/27,8/28,8/29,8/30,8/31,9/1,9/2,9/3,9/4,9/5,9/6,9/7,9/8,9/9,9/10,9/11,9/12,9/13,9/14,9/15,9/16,9/17,9/18
,,,,,,,,,,,,,,,,,,,,,Charlyne's Bday :D,Erena's Bday ;D
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
leave for airport,,,,,,,,,,,,,,,,,,,,,,
arrive at airport,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
flight departs,,,,,,,,,,,,Universal Studios,,Disneyland,Disneyland,DisneySea,,,,,,
,,,,,,,,,,,Nara Park,,,,,,,,,,,
,,mcdonalds,Long Bridge,Shikoku Karst Natural Park,,,,,Coin Locker,,,,,,,,,Tsukiji Market,,Hakone Kowakien Yunessun,,
arrive in Calgary,,,,,,,,,Himeji Castlle,Osaka Aquarium,Todaiji Temple,,,,,,mcdonald's,,TeamLab Planets,,,
,,COSTCO,,,,,,,,,,,,,,,shopping day!,Art Aquarium,,,,
,,,,,Costco,,,,,,,,,,,,,,Lunch,,,
,,gusto,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Himeji Castle,,,,,,kura sushi,,,,,leave for airport
flight departs,,,,Ryugado,,,,,,Takoyaki,,,,,,,Joypolis,Imtiaz's Market,Ghibli Museum,,,arrive at airport
,arrive in Tokyo,,,,,,,,,Round One Stadium,,,,,,,,,,,,
,,karaoke,,,,,,,,,,,,,,,,Ginza shopping ;D,,,,
,,,,,,,,,,,,,,,,,,,,,,flight departs
,Takamatsu,dinner,,,,,,,,,,,,,,,,,,,,magic
,Shikoku Karst Natural Park,,,,,,,,,Gyukatsu,,,,,,,kisobura farms,,,,,Home!
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Mugen Ramen,,,,,,,,,,